Park;Year;Month;Day;Consumption
Oriental;2023;3;11;24,192
ArcaAgua;2023;3;11;6,426
Covelo;2023;3;11;11,34
Cidade;2023;3;11;77,805
Oriental;2023;3;12;24,696
ArcaAgua;2023;3;12;6,426
Covelo;2023;3;12;11,2266
Cidade;2023;3;12;85,176
Oriental;2023;3;13;25,704
ArcaAgua;2023;3;13;6,363
Covelo;2023;3;13;11,34
Cidade;2023;3;13;84,357
Oriental;2023;3;14;26,208
ArcaAgua;2023;3;14;5,985
Covelo;2023;3;14;11,6802
Cidade;2023;3;14;77,805
Oriental;2023;3;15;24,696
ArcaAgua;2023;3;15;6,237
Covelo;2023;3;15;11,907
SaoRoque;2023;3;15;8,9082
Cidade;2023;3;15;79,443
Oriental;2023;3;16;25,956
ArcaAgua;2023;3;16;6,615
Covelo;2023;3;16;11,2266
SaoRoque;2023;3;16;8,379
Cidade;2023;3;16;85,176
Oriental;2023;3;17;23,94
ArcaAgua;2023;3;17;6,426
Covelo;2023;3;17;11,5668
SaoRoque;2023;3;17;8,82
Cidade;2023;3;17;82,719
Oriental;2023;3;18;24,192
ArcaAgua;2023;3;18;6,615
Covelo;2023;3;18;11,4534
SaoRoque;2023;3;18;8,82
Cidade;2023;3;18;77,805
Oriental;2023;3;19;25,704
ArcaAgua;2023;3;19;6,363
Covelo;2023;3;19;11,7936
SaoRoque;2023;3;19;8,9082
Cidade;2023;3;19;84,357
Oriental;2023;3;20;26,46
ArcaAgua;2023;3;20;6,615
Covelo;2023;3;20;11,5668
SaoRoque;2023;3;20;8,9082
Cidade;2023;3;20;83,538
Oriental;2023;3;21;25,2
ArcaAgua;2023;3;21;6,048
Covelo;2023;3;21;10,8864
SaoRoque;2023;3;21;8,82
Cidade;2023;3;21;81,9
Oriental;2023;3;22;24,696
ArcaAgua;2023;3;22;6,552
Covelo;2023;3;22;10,9998
SaoRoque;2023;3;22;9,0846
Cidade;2023;3;22;81,9
Oriental;2023;3;23;25,2
ArcaAgua;2023;3;23;6,615
Covelo;2023;3;23;10,773
SaoRoque;2023;3;23;8,9964
Cidade;2023;3;23;83,538
Oriental;2023;3;24;25,452
ArcaAgua;2023;3;24;5,985
Covelo;2023;3;24;10,773
SaoRoque;2023;3;24;8,379
Cidade;2023;3;24;0
Oriental;2023;3;25;25,2
ArcaAgua;2023;3;25;6,552
Covelo;2023;3;25;11,6802
SaoRoque;2023;3;25;9,0846
Cidade;2023;3;25;79,443
Oriental;2023;3;26;25,2
ArcaAgua;2023;3;26;5,985
Covelo;2023;3;26;11,907
SaoRoque;2023;3;26;8,7318
Cidade;2023;3;26;82,719
Oriental;2023;3;27;24,192
ArcaAgua;2023;3;27;6,111
Covelo;2023;3;27;10,773
SaoRoque;2023;3;27;8,9082
Cidade;2023;3;27;85,995
Oriental;2023;3;28;24,192
ArcaAgua;2023;3;28;5,985
Covelo;2023;3;28;10,9998
SaoRoque;2023;3;28;9,261
Cidade;2023;3;28;82,719
Oriental;2023;3;29;25,452
ArcaAgua;2023;3;29;6,615
Covelo;2023;3;29;10,773
SaoRoque;2023;3;29;9,261
Cidade;2023;3;29;81,081
Oriental;2023;3;30;25,2
ArcaAgua;2023;3;30;6,426
Covelo;2023;3;30;11,34
SaoRoque;2023;3;30;8,379
Cidade;2023;3;30;83,538
Oriental;2023;3;31;25,704
ArcaAgua;2023;3;31;6,3
Covelo;2023;3;31;11,7936
SaoRoque;2023;3;31;8,4672
Cidade;2023;3;31;85,176
Oriental;2023;4;1;32,13
ArcaAgua;2023;4;1;7,7175
Covelo;2023;4;1;13,8915
SaoRoque;2023;4;1;11,35575
Cidade;2023;4;1;105,44625
Oriental;2023;4;2;30,555
ArcaAgua;2023;4;2;7,79625
Covelo;2023;4;2;14,60025
SaoRoque;2023;4;2;10,69425
Cidade;2023;4;2;100,3275
Oriental;2023;4;3;30,87
ArcaAgua;2023;4;3;7,7175
Covelo;2023;4;3;14,742
SaoRoque;2023;4;3;11,466
Cidade;2023;4;3;98,28
Oriental;2023;4;4;33,075
ArcaAgua;2023;4;4;8,0325
Covelo;2023;4;4;14,03325
SaoRoque;2023;4;4;10,584
Cidade;2023;4;4;103,39875
Oriental;2023;4;5;30,87
ArcaAgua;2023;4;5;8,11125
Covelo;2023;4;5;14,742
SaoRoque;2023;4;5;10,47375
Cidade;2023;4;5;100,3275
Oriental;2023;4;6;29,925
ArcaAgua;2023;4;6;7,79625
Covelo;2023;4;6;14,60025
SaoRoque;2023;4;6;11,466
Cidade;2023;4;6;102,375
Oriental;2023;4;7;32,76
ArcaAgua;2023;4;7;8,26875
Covelo;2023;4;7;14,31675
SaoRoque;2023;4;7;10,47375
Cidade;2023;4;7;104,4225
Oriental;2023;4;8;30,555
ArcaAgua;2023;4;8;7,56
Covelo;2023;4;8;13,46625
SaoRoque;2023;4;8;10,8045
Cidade;2023;4;8;97,25625
Oriental;2023;4;9;31,185
ArcaAgua;2023;4;9;7,56
SaoRoque;2023;4;9;11,13525
Cidade;2023;4;9;101,35125
Oriental;2023;4;10;30,555
ArcaAgua;2023;4;10;8,0325
SaoRoque;2023;4;10;11,025
Cidade;2023;4;10;103,39875
Oriental;2023;4;11;31,815
ArcaAgua;2023;4;11;7,63875
SaoRoque;2023;4;11;11,13525
Cidade;2023;4;11;102,375
Oriental;2023;4;12;32,76
ArcaAgua;2023;4;12;7,48125
SaoRoque;2023;4;12;10,47375
Cidade;2023;4;12;107,49375
Oriental;2023;4;13;32,76
ArcaAgua;2023;4;13;8,26875
SaoRoque;2023;4;13;10,8045
Cidade;2023;4;13;106,47
Oriental;2023;4;14;30,87
ArcaAgua;2023;4;14;7,7175
SaoRoque;2023;4;14;11,466
Cidade;2023;4;14;97,25625
Oriental;2023;4;15;29,925
ArcaAgua;2023;4;15;7,48125
SaoRoque;2023;4;15;11,466
Cidade;2023;4;15;97,25625
Oriental;2023;4;16;29,925
ArcaAgua;2023;4;16;7,95375
SaoRoque;2023;4;16;11,2455
Cidade;2023;4;16;104,4225
Oriental;2023;4;17;31,185
ArcaAgua;2023;4;17;7,48125
SaoRoque;2023;4;17;11,57625
Cidade;2023;4;17;105,44625
Oriental;2023;4;18;33,075
ArcaAgua;2023;4;18;8,19
SaoRoque;2023;4;18;10,91475
Cidade;2023;4;18;98,28
Oriental;2023;4;19;32,76
ArcaAgua;2023;4;19;7,63875
SaoRoque;2023;4;19;10,8045
Cidade;2023;4;19;98,28
Oriental;2023;4;20;30,555
ArcaAgua;2023;4;20;7,95375
SaoRoque;2023;4;20;10,91475
Cidade;2023;4;20;101,35125
Oriental;2023;4;21;30,87
ArcaAgua;2023;4;21;7,875
Covelo;2023;4;21;13,608
SaoRoque;2023;4;21;11,35575
Cidade;2023;4;21;97,25625
Oriental;2023;4;22;31,185
ArcaAgua;2023;4;22;7,875
Covelo;2023;4;22;13,8915
SaoRoque;2023;4;22;10,69425
Cidade;2023;4;22;103,39875
Oriental;2023;4;23;30,24
ArcaAgua;2023;4;23;8,19
Covelo;2023;4;23;14,03325
SaoRoque;2023;4;23;11,13525
Cidade;2023;4;23;107,49375
Oriental;2023;4;24;30,87
ArcaAgua;2023;4;24;7,875
Covelo;2023;4;24;13,8915
SaoRoque;2023;4;24;10,584
Cidade;2023;4;24;103,39875
Oriental;2023;4;25;29,925
ArcaAgua;2023;4;25;7,79625
Covelo;2023;4;25;14,4585
SaoRoque;2023;4;25;11,13525
Cidade;2023;4;25;107,49375
Oriental;2023;4;26;29,925
ArcaAgua;2023;4;26;8,11125
Covelo;2023;4;26;14,60025
SaoRoque;2023;4;26;10,47375
Cidade;2023;4;26;97,25625
Oriental;2023;4;27;30,555
ArcaAgua;2023;4;27;7,95375
Covelo;2023;4;27;14,742
SaoRoque;2023;4;27;10,47375
Cidade;2023;4;27;102,375
Oriental;2023;4;28;29,925
ArcaAgua;2023;4;28;8,26875
Covelo;2023;4;28;13,608
SaoRoque;2023;4;28;11,025
Cidade;2023;4;28;100,3275
Oriental;2023;4;29;31,185
ArcaAgua;2023;4;29;7,79625
Covelo;2023;4;29;14,4585
SaoRoque;2023;4;29;11,13525
Cidade;2023;4;29;491,4
Oriental;2023;4;30;30,24
ArcaAgua;2023;4;30;8,0325
Covelo;2023;4;30;13,8915
SaoRoque;2023;4;30;11,35575
Cidade;2023;4;30;97,25625
Oriental;2023;5;1;39,312
ArcaAgua;2023;5;1;10,040625
Covelo;2023;5;1;18,073125
SaoRoque;2023;5;1;15,6279375
Cidade;2023;5;1;121,5703125
Oriental;2023;5;2;36,288
ArcaAgua;2023;5;2;10,1390625
Covelo;2023;5;2;18,2503125
SaoRoque;2023;5;2;14,7349125
Cidade;2023;5;2;131,8078125
Oriental;2023;5;3;39,312
ArcaAgua;2023;5;3;9,646875
Covelo;2023;5;3;17,5415625
SaoRoque;2023;5;3;15,181425
Cidade;2023;5;3;126,6890625
Oriental;2023;5;4;35,91
ArcaAgua;2023;5;4;9,3515625
Covelo;2023;5;4;17,364375
SaoRoque;2023;5;4;14,2884
Cidade;2023;5;4;124,1296875
Oriental;2023;5;5;38,178
ArcaAgua;2023;5;5;9,7453125
Covelo;2023;5;5;17,71875
SaoRoque;2023;5;5;14,88375
Cidade;2023;5;5;121,5703125
Oriental;2023;5;6;39,312
ArcaAgua;2023;5;6;9,45
Covelo;2023;5;6;18,6046875
SaoRoque;2023;5;6;15,6279375
Cidade;2023;5;6;0
Oriental;2023;5;7;36,666
ArcaAgua;2023;5;7;10,2375
Covelo;2023;5;7;17,5415625
SaoRoque;2023;5;7;15,181425
Cidade;2023;5;7;131,8078125
Oriental;2023;5;8;39,312
ArcaAgua;2023;5;8;9,646875
Covelo;2023;5;8;17,1871875
SaoRoque;2023;5;8;14,7349125
Cidade;2023;5;8;129,2484375
Oriental;2023;5;9;38,556
ArcaAgua;2023;5;9;10,1390625
Covelo;2023;5;9;16,8328125
SaoRoque;2023;5;9;15,0325875
Cidade;2023;5;9;122,85
Oriental;2023;5;10;36,666
ArcaAgua;2023;5;10;10,2375
Covelo;2023;5;10;18,073125
SaoRoque;2023;5;10;14,2884
Cidade;2023;5;10;131,8078125
Oriental;2023;5;11;38,178
ArcaAgua;2023;5;11;9,9421875
Covelo;2023;5;11;18,2503125
SaoRoque;2023;5;11;15,6279375
Cidade;2023;5;11;126,6890625
Oriental;2023;5;12;39,312
ArcaAgua;2023;5;12;9,5484375
Covelo;2023;5;12;18,6046875
SaoRoque;2023;5;12;14,7349125
Cidade;2023;5;12;131,8078125
Oriental;2023;5;13;36,288
ArcaAgua;2023;5;13;9,7453125
Covelo;2023;5;13;17,71875
SaoRoque;2023;5;13;15,6279375
Cidade;2023;5;13;125,409375
Oriental;2023;5;14;35,91
ArcaAgua;2023;5;14;10,040625
Covelo;2023;5;14;17,5415625
SaoRoque;2023;5;14;15,0325875
Cidade;2023;5;14;121,5703125
Oriental;2023;5;15;39,312
ArcaAgua;2023;5;15;9,84375
Covelo;2023;5;15;18,2503125
SaoRoque;2023;5;15;14,7349125
Cidade;2023;5;15;130,528125
Oriental;2023;5;16;39,312
ArcaAgua;2023;5;16;9,45
Covelo;2023;5;16;17,5415625
SaoRoque;2023;5;16;15,4791
Cidade;2023;5;16;127,96875
Oriental;2023;5;17;36,288
ArcaAgua;2023;5;17;9,646875
Covelo;2023;5;17;17,5415625
SaoRoque;2023;5;17;14,7349125
Cidade;2023;5;17;126,6890625
Oriental;2023;5;18;39,312
ArcaAgua;2023;5;18;9,9421875
Covelo;2023;5;18;17,1871875
SaoRoque;2023;5;18;14,88375
Cidade;2023;5;18;133,0875
Oriental;2023;5;19;36,288
ArcaAgua;2023;5;19;9,45
Covelo;2023;5;19;18,073125
SaoRoque;2023;5;19;15,6279375
Cidade;2023;5;19;130,528125
Oriental;2023;5;20;38,556
ArcaAgua;2023;5;20;9,84375
Covelo;2023;5;20;17,1871875
SaoRoque;2023;5;20;15,0325875
Cidade;2023;5;20;129,2484375
Oriental;2023;5;21;37,422
ArcaAgua;2023;5;21;10,040625
Covelo;2023;5;21;18,4275
SaoRoque;2023;5;21;15,3302625
Cidade;2023;5;21;127,96875
Oriental;2023;5;22;38,178
ArcaAgua;2023;5;22;10,2375
Covelo;2023;5;22;18,073125
SaoRoque;2023;5;22;14,4372375
Cidade;2023;5;22;126,6890625
Oriental;2023;5;23;37,422
ArcaAgua;2023;5;23;9,45
Covelo;2023;5;23;16,8328125
SaoRoque;2023;5;23;14,2884
Cidade;2023;5;23;129,2484375
Oriental;2023;5;24;38,556
ArcaAgua;2023;5;24;9,45
Covelo;2023;5;24;18,073125
SaoRoque;2023;5;24;14,88375
Cidade;2023;5;24;122,85
Oriental;2023;5;25;38,934
ArcaAgua;2023;5;25;9,9421875
Covelo;2023;5;25;17,1871875
SaoRoque;2023;5;25;14,4372375
Cidade;2023;5;25;129,2484375
Oriental;2023;5;26;36,288
ArcaAgua;2023;5;26;10,3359375
Covelo;2023;5;26;18,2503125
SaoRoque;2023;5;26;15,6279375
Cidade;2023;5;26;122,85
Oriental;2023;5;27;38,556
ArcaAgua;2023;5;27;10,2375
Covelo;2023;5;27;18,2503125
SaoRoque;2023;5;27;14,88375
Cidade;2023;5;27;126,6890625
Oriental;2023;5;28;37,044
ArcaAgua;2023;5;28;49,21875
Covelo;2023;5;28;18,6046875
SaoRoque;2023;5;28;15,4791
Cidade;2023;5;28;129,2484375
Oriental;2023;5;29;39,69
ArcaAgua;2023;5;29;9,45
Covelo;2023;5;29;18,073125
SaoRoque;2023;5;29;15,6279375
Cidade;2023;5;29;133,0875
Oriental;2023;5;30;38,934
ArcaAgua;2023;5;30;10,1390625
Covelo;2023;5;30;17,8959375
SaoRoque;2023;5;30;15,181425
Cidade;2023;5;30;124,1296875
Oriental;2023;5;31;36,288
ArcaAgua;2023;5;31;10,3359375
Covelo;2023;5;31;17,5415625
SaoRoque;2023;5;31;15,3302625
Cidade;2023;5;31;127,96875
Oriental;2023;6;1;50,274
ArcaAgua;2023;6;1;13,3678125
Covelo;2023;6;1;23,814
SaoRoque;2023;6;1;19,7953875
Cidade;2023;6;1;182,739375
Oriental;2023;6;2;0
ArcaAgua;2023;6;2;14,3325
Covelo;2023;6;2;25,302375
SaoRoque;2023;6;2;20,6288775
Cidade;2023;6;2;173,7815625
Oriental;2023;6;3;51,8616
ArcaAgua;2023;6;3;14,3325
Covelo;2023;6;3;25,5504375
SaoRoque;2023;6;3;20,2121325
Cidade;2023;6;3;180,9478125
Oriental;2023;6;4;52,92
ArcaAgua;2023;6;4;13,0921875
Covelo;2023;6;4;25,302375
SaoRoque;2023;6;4;21,4623675
Cidade;2023;6;4;186,3225
Oriental;2023;6;5;50,8032
ArcaAgua;2023;6;5;13,78125
Covelo;2023;6;5;23,814
SaoRoque;2023;6;5;21,8791125
Cidade;2023;6;5;170,1984375
Oriental;2023;6;6;52,92
ArcaAgua;2023;6;6;13,6434375
Covelo;2023;6;6;23,814
SaoRoque;2023;6;6;20,83725
Cidade;2023;6;6;184,5309375
Oriental;2023;6;7;55,0368
ArcaAgua;2023;6;7;14,4703125
Covelo;2023;6;7;24,310125
SaoRoque;2023;6;7;20,420505
Cidade;2023;6;7;179,15625
Oriental;2023;6;8;51,3324
ArcaAgua;2023;6;8;14,3325
Covelo;2023;6;8;23,5659375
SaoRoque;2023;6;8;20,83725
Cidade;2023;6;8;177,3646875
Oriental;2023;6;9;55,566
ArcaAgua;2023;6;9;13,23
Covelo;2023;6;9;26,0465625
SaoRoque;2023;6;9;21,67074
Cidade;2023;6;9;177,3646875
Oriental;2023;6;10;52,92
ArcaAgua;2023;6;10;13,3678125
Covelo;2023;6;10;26,0465625
SaoRoque;2023;6;10;20,6288775
Cidade;2023;6;10;184,5309375
Oriental;2023;6;11;50,8032
ArcaAgua;2023;6;11;13,9190625
Covelo;2023;6;11;24,80625
SaoRoque;2023;6;11;21,0456225
Cidade;2023;6;11;180,9478125
Oriental;2023;6;12;53,9784
ArcaAgua;2023;6;12;13,23
Covelo;2023;6;12;23,5659375
SaoRoque;2023;6;12;20,00376
Cidade;2023;6;12;175,573125
Oriental;2023;6;13;53,9784
ArcaAgua;2023;6;13;13,6434375
Covelo;2023;6;13;25,5504375
SaoRoque;2023;6;13;21,253995
Cidade;2023;6;13;186,3225
Oriental;2023;6;14;52,3908
ArcaAgua;2023;6;14;13,6434375
Covelo;2023;6;14;24,0620625
SaoRoque;2023;6;14;20,83725
Cidade;2023;6;14;180,9478125
Oriental;2023;6;15;50,274
ArcaAgua;2023;6;15;14,056875
Covelo;2023;6;15;24,0620625
SaoRoque;2023;6;15;21,8791125
Cidade;2023;6;15;180,9478125
Oriental;2023;6;16;51,3324
ArcaAgua;2023;6;16;14,1946875
Covelo;2023;6;16;23,5659375
SaoRoque;2023;6;16;20,83725
Cidade;2023;6;16;175,573125
Oriental;2023;6;17;53,4492
ArcaAgua;2023;6;17;13,23
Covelo;2023;6;17;26,0465625
SaoRoque;2023;6;17;21,67074
Cidade;2023;6;17;170,1984375
Oriental;2023;6;18;52,3908
ArcaAgua;2023;6;18;13,505625
Covelo;2023;6;18;24,310125
SaoRoque;2023;6;18;21,0456225
Cidade;2023;6;18;170,1984375
Oriental;2023;6;19;55,0368
ArcaAgua;2023;6;19;13,3678125
Covelo;2023;6;19;23,814
SaoRoque;2023;6;19;20,2121325
Cidade;2023;6;19;171,99
Oriental;2023;6;20;50,274
ArcaAgua;2023;6;20;13,23
Covelo;2023;6;20;24,0620625
SaoRoque;2023;6;20;21,67074
Cidade;2023;6;20;188,1140625
Oriental;2023;6;21;53,4492
ArcaAgua;2023;6;21;14,056875
Covelo;2023;6;21;25,5504375
SaoRoque;2023;6;21;19,7953875
Cidade;2023;6;21;182,739375
Oriental;2023;6;22;55,566
ArcaAgua;2023;6;22;14,056875
Covelo;2023;6;22;23,814
SaoRoque;2023;6;22;20,420505
Cidade;2023;6;22;175,573125
Oriental;2023;6;23;55,0368
ArcaAgua;2023;6;23;14,056875
Covelo;2023;6;23;25,5504375
SaoRoque;2023;6;23;20,420505
Cidade;2023;6;23;182,739375
Oriental;2023;6;24;53,9784
ArcaAgua;2023;6;24;13,505625
Covelo;2023;6;24;23,5659375
SaoRoque;2023;6;24;20,6288775
Cidade;2023;6;24;180,9478125
Oriental;2023;6;25;53,4492
ArcaAgua;2023;6;25;13,9190625
Covelo;2023;6;25;25,302375
SaoRoque;2023;6;25;21,4623675
Cidade;2023;6;25;180,9478125
Oriental;2023;6;26;55,566
ArcaAgua;2023;6;26;14,056875
Covelo;2023;6;26;25,0543125
SaoRoque;2023;6;26;20,420505
